x,y,avg_ms
1,1,1182.9
1,2,623.841
1,3,425.244
1,4,330.944
1,5,276.354
1,6,239.99
1,7,216.221
1,8,198.243
1,9,188.229
1,10,179.792
1,11,173.448
1,12,168.12
1,13,165.119
1,14,162.136
1,15,160.179
1,16,157.333
1,17,157.622
1,18,156.655
1,19,155.915
1,20,155.097
1,21,155.299
1,22,155.328
1,23,155.862
1,24,155.846
1,25,157.465
1,26,158.457
1,27,159.724
1,28,160.53
1,29,162.384
1,30,163.883
1,31,165.808
1,32,166.191
2,1,626.482
2,2,337.307
2,3,232.656
2,4,180.343
2,5,150.474
2,6,131.817
2,7,119.929
2,8,110.486
2,9,104.87
2,10,99.8905
2,11,96.4479
2,12,93.7466
2,13,92.3671
2,14,90.7753
2,15,89.9664
2,16,88.736
2,17,98.7697
2,18,97.3129
2,19,96.7351
2,20,96.3198
2,21,96.9885
2,22,97.2808
2,23,98.033
2,24,98.3106
2,25,99.4424
2,26,100.177
2,27,100.839
2,28,101.468
2,29,102.121
2,30,102.686
2,31,103.227
2,32,103.331
3,1,426.877
3,2,230.994
3,3,160.097
3,4,125.129
3,5,105.606
3,6,93.6744
3,7,85.0029
3,8,78.2873
3,9,74.2746
3,10,71.1489
3,11,87.9949
3,12,81.2302
3,13,78.8752
3,14,77.0566
3,15,75.5909
3,16,74.2922
3,17,74.2499
3,18,74.2335
3,19,74.4365
3,20,74.7169
3,21,75.1073
3,22,78.9811
3,23,78.5992
3,24,78.4031
3,25,78.6709
3,26,78.6778
3,27,78.8286
3,28,78.5566
3,29,78.7324
3,30,78.6789
3,31,78.5129
3,32,78.2688
4,1,325.91
4,2,176.972
4,3,123.38
4,4,97.5006
4,5,82.5955
4,6,72.6857
4,7,66.0986
4,8,61.0448
4,9,73.4863
4,10,69.0269
4,11,65.8858
4,12,63.1009
4,13,61.1396
4,14,59.5462
4,15,58.4255
4,16,57.5885
4,17,62.9999
4,18,61.5281
4,19,60.5566
4,20,59.9813
4,21,59.6801
4,22,59.4322
4,23,59.2888
4,24,59.163
4,25,62.0919
4,26,61.448
4,27,61.1179
4,28,60.7361
4,29,60.6819
4,30,60.5582
4,31,60.4113
4,32,60.2954
5,1,265.269
5,2,144.512
5,3,101.346
5,4,80.6656
5,5,68.5578
5,6,60.6153
5,7,76.243
5,8,66.6529
5,9,62.3978
5,10,58.8441
5,11,56.3031
5,12,54.224
5,13,62.7494
5,14,59.5304
5,15,57.5971
5,16,55.966
5,17,54.8282
5,18,53.7941
5,19,53.4191
5,20,58.988
5,21,57.6151
5,22,56.5539
5,23,55.8711
5,24,55.0627
5,25,54.7341
5,26,54.2103
5,27,52.9652
5,28,51.982
5,29,51.1011
5,30,50.0553
5,31,49.4677
5,32,48.914
6,1,224.07
6,2,122.217
6,3,86.7758
6,4,68.862
6,5,58.4402
6,6,72.9651
6,7,62.507
6,8,57.2914
6,9,53.7565
6,10,50.5424
6,11,59.6236
6,12,55.7099
6,13,53.285
6,14,51.2019
6,15,49.4118
6,16,48.0516
6,17,54.8905
6,18,53.1761
6,19,51.6729
6,20,50.3078
6,21,48.9561
6,22,51.049
6,23,49.9286
6,24,48.6007
6,25,47.4041
6,26,46.3034
6,27,51.0127
6,28,49.2045
6,29,48.2662
6,30,47.3694
6,31,46.5695
6,32,45.6764
7,1,193.478
7,2,106.472
7,3,75.7506
7,4,60.6282
7,5,73.3472
7,6,60.9854
7,7,55.4304
7,8,50.4519
7,9,47.4122
7,10,55.8238
7,11,52.0181
7,12,49.2215
7,13,47.1328
7,14,55.1076
7,15,52.5812
7,16,50.458
7,17,48.7208
7,18,47.094
7,19,49.7637
7,20,48.2329
7,21,46.9721
7,22,45.6547
7,23,49.7177
7,24,47.9443
7,25,46.8547
7,26,45.7776
7,27,44.7963
7,28,49.0448
7,29,48.0702
7,30,47.2288
7,31,46.3665
7,32,45.537
8,1,172.104
8,2,95.2624
8,3,67.8233
8,4,53.8259
8,5,61.5447
8,6,53.8975
8,7,48.1811
8,8,44.1746
8,9,51.5707
8,10,48.2538
8,11,45.0846
8,12,42.711
8,13,50.1649
8,14,47.7489
8,15,45.7171
8,16,43.5597
8,17,47.2686
8,18,45.4026
8,19,43.8956
8,20,42.3624
8,21,45.7721
8,22,44.2844
8,23,43.13
8,24,41.8682
8,25,46.1021
8,26,45.0085
8,27,43.9865
8,28,42.8576
8,29,46.876
8,30,45.8746
8,31,44.9953
8,32,43.9824
9,1,153.615
9,2,85.3744
9,3,60.7887
9,4,69.9418
9,5,56.6046
9,6,49.2986
9,7,44.5946
9,8,52.3454
9,9,48.2414
9,10,44.4229
9,11,52.4675
9,12,48.9939
9,13,46.7258
9,14,44.3133
9,15,47.2842
9,16,45.273
9,17,43.6971
9,18,47.2862
9,19,45.3502
9,20,43.6069
9,21,42.4125
9,22,46.5359
9,23,45.2737
9,24,43.9925
9,25,48.2932
9,26,47.0791
9,27,45.9384
9,28,44.9824
9,29,46.6079
9,30,45.6799
9,31,44.7054
9,32,43.7507
10,1,139.351
10,2,77.6779
10,3,55.2775
10,4,64.1475
10,5,51.8589
10,6,45.2209
10,7,53.0429
10,8,47.7855
10,9,43.8739
10,10,51.2932
10,11,47.8126
10,12,44.9489
10,13,48.2219
10,14,46.0272
10,15,43.8934
10,16,41.9117
10,17,44.8293
10,18,43.1094
10,19,41.4009
10,20,45.6771
10,21,44.2793
10,22,42.8569
10,23,46.8239
10,24,45.4178
10,25,44.2743
10,26,46.0196
10,27,44.7643
10,28,43.7343
10,29,47.4232
10,30,46.0682
10,31,45.05
10,32,44.1683
11,1,127.427
11,2,71.3375
11,3,74.4205
11,4,56.4858
11,5,47.4387
11,6,55.09
11,7,48.4749
11,8,44.1294
11,9,50.9427
11,10,47.2677
11,11,43.9804
11,12,47.2329
11,13,44.6141
11,14,42.4188
11,15,45.687
11,16,43.3868
11,17,41.3715
11,18,45.4261
11,19,43.9438
11,20,42.3637
11,21,46.1101
11,22,44.6247
11,23,43.2774
11,24,44.9495
11,25,43.5592
11,26,42.3428
11,27,46.0482
11,28,44.6107
11,29,43.5264
11,30,44.6289
11,31,43.675
11,32,42.6508
12,1,118.04
12,2,66.0884
12,3,69.1486
12,4,52.3377
12,5,44.0075
12,6,51.0821
12,7,45.0127
12,8,40.8076
12,9,46.9068
12,10,43.3986
12,11,46.6558
12,12,43.8903
12,13,41.477
12,14,44.5951
12,15,42.1014
12,16,39.871
12,17,43.9527
12,18,42.1272
12,19,45.6248
12,20,43.7743
12,21,42.4727
12,22,44.0303
12,23,42.627
12,24,41.2938
12,25,44.5019
12,26,43.3112
12,27,44.3381
12,28,43.241
12,29,42.1623
12,30,44.6051
12,31,43.6914
12,32,42.5989
13,1,109.665
13,2,61.4631
13,3,64.6433
13,4,48.9127
13,5,55.1118
13,6,47.4111
13,7,42.2826
13,8,48.4759
13,9,44.3057
13,10,47.14
13,11,44.1262
13,12,41.2794
13,13,44.3009
13,14,41.6312
13,15,45.2277
13,16,43.3391
13,17,41.4388
13,18,44.8004
13,19,42.9293
13,20,44.4194
13,21,43.0215
13,22,41.4871
13,23,44.9182
13,24,43.3252
13,25,44.2806
13,26,42.9036
13,27,41.8546
13,28,44.3281
13,29,43.2599
13,30,45.3409
13,31,44.1409
13,32,43.2082
14,1,102.605
14,2,57.7354
14,3,60.6507
14,4,45.8152
14,5,51.7415
14,6,44.4797
14,7,50.3374
14,8,45.1757
14,9,41.4716
14,10,44.2359
14,11,41.2992
14,12,44.1455
14,13,41.1107
14,14,44.8646
14,15,42.6161
14,16,40.7736
14,17,43.5081
14,18,41.7336
14,19,43.2807
14,20,41.6873
14,21,44.9099
14,22,43.1973
14,23,44.1592
14,24,42.728
14,25,41.5496
14,26,43.7725
14,27,42.6459
14,28,44.8793
14,29,43.5024
14,30,44.2185
14,31,43.2471
14,32,42.4022
15,1,96.2419
15,2,54.3932
15,3,57.251
15,4,43.1963
15,5,48.8918
15,6,41.917
15,7,47.5503
15,8,42.6098
15,9,45.3528
15,10,41.9718
15,11,44.625
15,12,41.2476
15,13,44.9356
15,14,42.3413
15,15,45.6331
15,16,43.0879
15,17,41.3734
15,18,42.6806
15,19,40.8872
15,20,44.0936
15,21,42.2993
15,22,43.2046
15,23,41.6187
15,24,44.0991
15,25,42.597
15,26,44.8916
15,27,43.348
15,28,44.0139
15,29,42.9268
15,30,44.2492
15,31,43.5204
15,32,42.6618
16,1,93.185
16,2,52.8721
16,3,51.5548
16,4,40.6755
16,5,45.4339
16,6,39.1185
16,7,43.9287
16,8,39.5708
16,9,42.6783
16,10,39.2358
16,11,41.5828
16,12,38.5417
16,13,42.6062
16,14,39.8514
16,15,42.345
16,16,40.2237
16,17,41.741
16,18,39.9567
16,19,42.8012
16,20,41.1326
16,21,42.1317
16,22,40.5915
16,23,42.2043
16,24,40.7908
16,25,43.3513
16,26,41.8482
16,27,42.8419
16,28,41.5089
16,29,42.6858
16,30,41.4593
16,31,42.594
16,32,41.4092
17,1,86.1936
17,2,71.5737
17,3,48.9887
17,4,52.036
17,5,43.5191
17,6,47.8914
17,7,42.3345
17,8,44.6915
17,9,40.6793
17,10,43.2214
17,11,39.4125
17,12,42.9689
17,13,40.168
17,14,42.9721
17,15,40.5321
17,16,41.7801
17,17,44.5696
17,18,42.6017
17,19,43.2124
17,20,41.545
17,21,43.6282
17,22,42.0373
17,23,44.3065
17,24,42.4943
17,25,42.8179
17,26,41.8011
17,27,42.9756
17,28,42.1352
17,29,43.5333
17,30,42.3021
17,31,45.7762
17,32,44.7772
18,1,81.7326
18,2,67.9579
18,3,46.5429
18,4,49.642
18,5,41.3187
18,6,45.7225
18,7,40.1017
18,8,42.8096
18,9,44.4249
18,10,40.8094
18,11,43.7957
18,12,40.9935
18,13,43.3703
18,14,40.7627
18,15,41.9894
18,16,39.6903
18,17,42.4506
18,18,42.9084
18,19,41.3293
18,20,43.0493
18,21,41.5275
18,22,43.8864
18,23,41.9291
18,24,42.4262
18,25,43.448
18,26,42.5558
18,27,43.8214
18,28,42.491
18,29,46.1269
18,30,44.917
18,31,44.0296
18,32,43.3432
19,1,77.5876
19,2,64.7925
19,3,44.4002
19,4,47.4347
19,5,39.2973
19,6,43.8122
19,7,45.1048
19,8,40.7972
19,9,42.5857
19,10,38.7208
19,11,41.7865
19,12,44.0181
19,13,41.3269
19,14,42.1383
19,15,39.9377
19,16,42.4209
19,17,42.8664
19,18,41.193
19,19,42.9124
19,20,41.3849
